pay,conditions,nature_of_work,promotion,supervision,rewards,coworkers,communication,benefits,former_emp
0,0,0,1,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,1
0,0,0,3,0,0,0,0,0,1
0,0,0,0,0,3,0,0,0,1
0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,1
0,0,0,0,0,0,0,0,1,1
0,0,0,3,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,3,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,3,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,1
0,0,3,0,0,0,0,0,0,1
0,0,3,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,3,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,3,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1
0,0,3,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,3,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,3,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0
0,0,0,1,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,1
0,0,3,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,3,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0
0,3,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1
0,3,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,1
0,0,3,0,0,0,0,0,0,1
0,0,3,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0
